,name,date,passive,q,w,e,r,total,date_float
65,Lissandra,2013-04-30,33,37,20,25,76,191,1367280000.0
84,Olaf,2010-06-09,16,45,29,30,71,191,1276041600.0
71,Maokai,2011-02-16,27,22,33,76,32,190,1297814400.0
9,AurelionSol,2016-03-24,12,50,53,42,32,189,1458777600.0
121,Taric,2009-08-19,21,54,61,31,22,189,1250640000.0
28,Fiddlesticks,2009-02-21,7,70,56,30,26,189,1235174400.0
5,Anivia,2009-07-10,15,64,22,25,61,187,1247184000.0
54,Kayle,2009-02-21,37,49,26,48,27,187,1235174400.0
117,Syndra,2012-09-13,29,27,50,39,40,185,1347494400.0
142,XinZhao,2010-07-13,10,33,28,41,73,185,1278979200.0
70,Malzahar,2010-06-01,27,24,43,51,40,185,1275350400.0
22,DrMundo,2009-09-02,10,46,28,77,23,184,1251849600.0
85,Orianna,2011-06-01,16,33,51,56,26,182,1306886400.0
23,Draven,2012-06-06,32,41,38,25,45,181,1338940800.0
43,JarvanIV,2011-03-01,29,44,28,39,40,180,1298937600.0
60,KogMaw,2010-06-24,12,48,30,32,58,180,1277337600.0
76,Morgana,2009-02-21,18,24,49,25,64,180,1235174400.0
150,Zilean,2009-04-18,38,60,14,24,43,179,1240012800.0
63,Leona,2011-07-13,26,18,63,31,38,176,1310515200.0
69,Malphite,2009-09-02,31,31,60,23,31,176,1251849600.0
8,Ashe,2009-02-21,28,44,30,36,38,176,1235174400.0
37,Hecarim,2012-04-18,13,45,29,49,39,175,1334707200.0
111,Sivir,2009-02-21,14,42,50,31,38,175,1235174400.0
52,Kassadin,2009-08-07,9,27,42,44,52,174,1249603200.0
114,Soraka,2009-02-21,8,54,38,44,30,174,1235174400.0
125,Trundle,2010-12-01,16,48,33,26,48,171,1291161600.0
35,Gragas,2010-02-02,7,62,41,43,18,171,1265068800.0
72,MasterYi,2009-02-21,9,53,37,16,56,171,1235174400.0
126,Tryndamere,2009-05-01,28,36,32,47,27,170,1241136000.0
73,MissFortune,2010-09-08,13,40,47,22,45,167,1283904000.0
75,Mordekaiser,2010-02-24,17,24,56,22,48,167,1266969600.0
64,Lillia,2020-07-22,16,44,22,45,39,166,1595376000.0
133,Veigar,2009-07-24,36,44,26,26,34,166,1248393600.0
79,Nautilus,2012-02-14,14,38,36,32,45,165,1329177600.0
